,,,
Риски,ФАКТОРЫ,МЕРА,"ДУАЛЬНЫЕ (ЕСЛИ РИСК-ФАКТОР ЕСТЬ, ТО ЗНАЧИТ, ЧТО МЕРЫ ИЗ ЯЧЕЙКИ НЕТ И НАОБОРОТ)"
HALL,UFR-053,UMF-051,
HALL,UFR-053,,
HALL,UFR-056,UMF-026,UMF-026
HALL,UFR-056,UMF-030,UMF-026
HALL,UFR-056,UMF-028,UMF-026
HALL,UFR-056,UMF-060,UMF-026
HALL,UFR-061,UMF-029,UMF-029
HALL,UFR-061,UMF-028,UMF-029
HALL,UFR-061,UMF-060,UMF-029
HALL,UFR-061,UMF-027,UMF-029
HALL,UFR-066,UMF-088,UMF-047
HALL,UFR-066,UMF-061,UMF-047
HALL,UFR-066,UMF-024,UMF-047
HALL,UFR-067,UMF-049,UMF-049
HALL,UFR-067,UMF-061,UMF-049
HALL,UFR-074,UMF-067,UMF-064
HALL,UFR-074,UMF-064,UMF-064
HALL,UFR-075,UMF-022,UMF-065
HALL,UFR-075,UMF-065,UMF-065
HALL,UFR-076,UMF-065,UMF-066
HALL,UFR-076,UMF-066,UMF-066
HALL,UFR-077,UMF-022,UMF-021
HALL,UFR-077,UMF-088,UMF-021
HALL,UFR-077,UMF-021,UMF-021
HALL,UFR-077,UMF-031,UMF-021
HALL,UFR-077,UMF-069,UMF-021
HALL,UFR-077,UMF-073,UMF-021
HALL,UFR-073,UMF-073,UMF-094
DISINFO,UFR-074,UMF-064,UMF-064
DISINFO,UFR-028,UMF-036,UMF-031
DISINFO,UFR-028,UMF-065,UMF-031
DISINFO,UFR-028,UMF-031,UMF-031
DISINFO,UFR-023,UMF-022,
DISINFO,UFR-070,UMF-067,UMF-011
DISINFO,UFR-070,UMF-011,UMF-011
DISINFO,UFR-070,UMF-014,UMF-011
DISINFO,UFR-075,UMF-031,UMF-065
DISINFO,UFR-075,UMF-065,UMF-065
DISINFO,UFR-103,UMF-028,UMF-028
DISINFO,UFR-074,UMF-068,UMF-064
DISINFO,UFR-081,UMF-093,UMF-093
DISINFO,UFR-081,UMF-069,UMF-093
DISINFO,UFR-081,UMF-014,UMF-093
DISINFO,UFR-081,UMF-004,UMF-093
DISINFO,UFR-030,UMF-088,UMF-031
DISINFO,UFR-030,UMF-031,UMF-031
DISINFO,UFR-035,UMF-031,UMF-031
DISINFO,UFR-059,UMF-022,UMF-022
DISINFO,UFR-102,UMF-059,UMF-059
DISINFO,UFR-076,UMF-065,UMF-066
DISINFO,UFR-076,UMF-022,UMF-066
DISINFO,UFR-076,UMF-064,UMF-066
DISINFO,UFR-066,UMF-088,UMF-047
DISINFO,UFR-019,UMF-088,
DISINFO,UFR-079,UMF-067,UMF-036
DISINFO,UFR-079,UMF-036,UMF-036
DISINFO,UFR-078,UMF-069,UMF-068
DISINFO,UFR-078,UMF-014,UMF-068
DISINFO,UFR-078,UMF-004,UMF-068
DISINFO,UFR-078,UMF-068,UMF-068
DISINFO,UFR-103,UMF-059,UMF-028
DISINFO,UFR-073,UMF-069,UMF-094
DISINFO,UFR-073,UMF-036,UMF-094
DISINFO,UFR-073,UMF-014,UMF-094
DISINFO,UFR-073,UMF-031,UMF-094
MULTI,UFR-068,UMF-046,
MULTI,UFR-068,UMF-100,
MULTI,UFR-064,UMF-016,UMF-044
